R,G,B,id,mark,path,hexCol,h,s,v
252,253,115,1,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna1patch1_phone_flash.jpeg,#FCFD73,0.1678743961352657,0.5454545454545455,0.9921568627450981
252,254,145,1,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna1patch1_phone_flash.jpeg,#FCFE91,0.16972477064220182,0.42913385826771655,0.996078431372549
253,253,129,1,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna1patch1_phone_flash.jpeg,#FDFD81,0.16666666666666666,0.49011857707509887,0.9921568627450981
253,252.37919463000003,133.62080536999997,2,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna2patch1_phone_flash.jpeg,#FDFC85,0.16579995314939636,0.4718545242292492,0.9921568627450981
252,253,125,2,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna2patch1_phone_flash.jpeg,#FCFD7D,0.16796875,0.5059288537549407,0.9921568627450981
252,252,140,2,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna2patch1_phone_flash.jpeg,#FCFC8C,0.16666666666666666,0.4444444444444444,0.9882352941176471
255,255,109,3,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna3patch1_phone_flash.jpeg,#FFFF6D,0.16666666666666666,0.5725490196078431,1
253,254.71476510000005,112.57046979999994,3,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna3patch1_phone_flash.jpeg,#FDFE70,0.1686772586691819,0.5580528291879538,0.9988814317647061
254,254,108,3,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna3patch1_phone_flash.jpeg,#FEFE6C,0.16666666666666666,0.5748031496062992,0.996078431372549
252.1831561502255,255,84.68651185022566,4,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna4patch1_phone_flash.jpeg,#FCFF54,0.16942319511348916,0.6678960319598994,1
254,255,84.07046979999996,4,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna4patch1_phone_flash.jpeg,#FEFF54,0.16764172736256663,0.6703118831372551,1
255,255,102.27198099550166,4,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna4patch1_phone_flash.jpeg,#FFFF66,0.16666666666666666,0.5989334078607778,1
255,255,126.66442954000013,5,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna5patch1_phone_flash.jpeg,#FFFF7E,0.16666666666666666,0.5032767469019603,1
255,255,106.70200666984155,5,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna5patch1_phone_flash.jpeg,#FFFF6A,0.16666666666666666,0.5815607581574841,1
254,255,133.26174496000021,5,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna5patch1_phone_flash.jpeg,#FEFF85,0.16803572413025444,0.4774049217254893,1
253,255,45,6,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna6patch1_phone_flash.jpeg,#FDFF2D,0.16825396825396824,0.8235294117647058,1
254.55369127999984,255,63.55369127999984,6,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna6patch1_phone_flash.jpeg,#FEFF3F,0.16705520790919062,0.7507698381176477,1
253,255,78.02684563999993,6,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna6patch1_phone_flash.jpeg,#FDFF4E,0.1685501915127869,0.694012370039216,1
255,255,88.31144993135258,7,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna7patch1_phone_flash.jpeg,#FFFF58,0.16666666666666666,0.6536805885044996,1
254,255,112.95412369362263,7,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna7patch1_phone_flash.jpeg,#FEFF70,0.16783999651615264,0.5570426521818721,1
253,255,117.59060401999977,7,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna7patch1_phone_flash.jpeg,#FDFF75,0.16909250757045644,0.5388603763921578,1
253,254,196.60570469999993,8,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna8patch1_phone_flash.jpeg,#FDFEC4,0.16957055573430832,0.22596179251968526,0.996078431372549
253,254,188,8,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna8patch1_phone_flash.jpeg,#FDFEBC,0.1691919191919192,0.25984251968503935,0.996078431372549
253,253,191,8,Senna_pendula_phone_flash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna8patch1_phone_flash.jpeg,#FDFDBF,0.16666666666666666,0.24505928853754944,0.9921568627450981
